Year,Tipo de valor,Territorio,Comarca,Municipio,Units,GeoCode,Serie,Value
2021,Nominal,,,Leaburu,Porcentaje,Leaburu,Valor añadido del sector manufacturo en proporción al PIB,41.7
2019,Nominal,,,Leaburu,Porcentaje,Leaburu,Valor añadido del sector manufacturo en proporción al PIB,46.4
2018,Nominal,,,Leaburu,Euro per cápita,Leaburu,Valor añadido del sector manufacturo,15597.3
2016,Nominal,,,Leaburu,Euro per cápita,Leaburu,Valor añadido del sector manufacturo,18489.6
2017,Nominal,,,Leaburu,Euro per cápita,Leaburu,Valor añadido del sector manufacturo,16247.9
2020,Nominal,,,Leaburu,Euro per cápita,Leaburu,Valor añadido del sector manufacturo,14509.4
2014,Nominal,,,Leaburu,Porcentaje,Leaburu,Valor añadido del sector manufacturo en proporción al PIB,37.7
2020,Nominal,,,Leaburu,Porcentaje,Leaburu,Valor añadido del sector manufacturo en proporción al PIB,40.9
2019,Nominal,,,Legazpi,Porcentaje,Legazpi,Valor añadido del sector manufacturo en proporción al PIB,47.7
2017,Nominal,,,Legazpi,Porcentaje,Legazpi,Valor añadido del sector manufacturo en proporción al PIB,49.1
2016,Nominal,,,Legazpi,Porcentaje,Legazpi,Valor añadido del sector manufacturo en proporción al PIB,49.6
2015,Nominal,,,Legazpi,Porcentaje,Legazpi,Valor añadido del sector manufacturo en proporción al PIB,44.4
2021,Nominal,,,Legazpi,Porcentaje,Legazpi,Valor añadido del sector manufacturo en proporción al PIB,47.0
2020,Nominal,,,Legazpi,Porcentaje,Legazpi,Valor añadido del sector manufacturo en proporción al PIB,46.2
2015,Nominal,,,Legazpi,Euro per cápita,Legazpi,Valor añadido del sector manufacturo,13319.1
2021,Nominal,,,Legazpi,Euro per cápita,Legazpi,Valor añadido del sector manufacturo,13169.0
2018,Nominal,,,Legazpi,Euro per cápita,Legazpi,Valor añadido del sector manufacturo,13610.7
2016,Nominal,,,Legazpi,Euro per cápita,Legazpi,Valor añadido del sector manufacturo,13899.1
2019,Nominal,,,Legazpi,Euro per cápita,Legazpi,Valor añadido del sector manufacturo,13591.5
2014,Nominal,,,Legazpi,Euro per cápita,Legazpi,Valor añadido del sector manufacturo,12378.8
2017,Nominal,,,Legazpi,Euro per cápita,Legazpi,Valor añadido del sector manufacturo,14238.6
2020,Nominal,,,Legazpi,Euro per cápita,Legazpi,Valor añadido del sector manufacturo,11579.8
2018,Nominal,,,Legazpi,Porcentaje,Legazpi,Valor añadido del sector manufacturo en proporción al PIB,48.1
2014,Nominal,,,Legazpi,Porcentaje,Legazpi,Valor añadido del sector manufacturo en proporción al PIB,45.8
2016,Nominal,,,Legorreta,Euro per cápita,Legorreta,Valor añadido del sector manufacturo,15539.6
2014,Nominal,,,Legorreta,Euro per cápita,Legorreta,Valor añadido del sector manufacturo,13704.0
2015,Nominal,,,Legorreta,Euro per cápita,Legorreta,Valor añadido del sector manufacturo,13023.6
2019,Nominal,,,Legorreta,Euro per cápita,Legorreta,Valor añadido del sector manufacturo,16425.0
2018,Nominal,,,Legorreta,Euro per cápita,Legorreta,Valor añadido del sector manufacturo,16124.4
2021,Nominal,,,Legorreta,Porcentaje,Legorreta,Valor añadido del sector manufacturo en proporción al PIB,48.2
2021,Nominal,,,Legorreta,Euro per cápita,Legorreta,Valor añadido del sector manufacturo,17379.3
2017,Nominal,,,Legorreta,Euro per cápita,Legorreta,Valor añadido del sector manufacturo,16604.1
2015,Nominal,,,Legorreta,Porcentaje,Legorreta,Valor añadido del sector manufacturo en proporción al PIB,46.0
2018,Nominal,,,Legorreta,Porcentaje,Legorreta,Valor añadido del sector manufacturo en proporción al PIB,49.0
2016,Nominal,,,Legorreta,Porcentaje,Legorreta,Valor añadido del sector manufacturo en proporción al PIB,49.1
2014,Nominal,,,Legorreta,Porcentaje,Legorreta,Valor añadido del sector manufacturo en proporción al PIB,48.3
2020,Nominal,,,Legorreta,Euro per cápita,Legorreta,Valor añadido del sector manufacturo,14035.0
2020,Nominal,,,Legorreta,Porcentaje,Legorreta,Valor añadido del sector manufacturo en proporción al PIB,44.1
2017,Nominal,,,Legorreta,Porcentaje,Legorreta,Valor añadido del sector manufacturo en proporción al PIB,49.9
2019,Nominal,,,Legorreta,Porcentaje,Legorreta,Valor añadido del sector manufacturo en proporción al PIB,47.6
2015,Nominal,,,Legutio,Euro per cápita,Legutio,Valor añadido del sector manufacturo,62947.9
2016,Nominal,,,Legutio,Euro per cápita,Legutio,Valor añadido del sector manufacturo,64815.6
2017,Nominal,,,Legutio,Euro per cápita,Legutio,Valor añadido del sector manufacturo,78069.5
2020,Nominal,,,Legutio,Euro per cápita,Legutio,Valor añadido del sector manufacturo,65003.1
2014,Nominal,,,Legutio,Euro per cápita,Legutio,Valor añadido del sector manufacturo,64389.1
2021,Nominal,,,Legutio,Euro per cápita,Legutio,Valor añadido del sector manufacturo,93438.3
2019,Nominal,,,Legutio,Euro per cápita,Legutio,Valor añadido del sector manufacturo,81383.5
2018,Nominal,,,Legutio,Euro per cápita,Legutio,Valor añadido del sector manufacturo,83782.0
2016,Nominal,,,Legutio,Porcentaje,Legutio,Valor añadido del sector manufacturo en proporción al PIB,57.1
2018,Nominal,,,Legutio,Porcentaje,Legutio,Valor añadido del sector manufacturo en proporción al PIB,56.6
2020,Nominal,,,Legutio,Porcentaje,Legutio,Valor añadido del sector manufacturo en proporción al PIB,54.8
2014,Nominal,,,Legutio,Porcentaje,Legutio,Valor añadido del sector manufacturo en proporción al PIB,58.6
2015,Nominal,,,Legutio,Porcentaje,Legutio,Valor añadido del sector manufacturo en proporción al PIB,59.8
2019,Nominal,,,Legutio,Porcentaje,Legutio,Valor añadido del sector manufacturo en proporción al PIB,56.4
2021,Nominal,,,Legutio,Porcentaje,Legutio,Valor añadido del sector manufacturo en proporción al PIB,60.1
2017,Nominal,,,Legutio,Porcentaje,Legutio,Valor añadido del sector manufacturo en proporción al PIB,57.6
2020,Nominal,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,Valor añadido del sector manufacturo en proporción al PIB,5.1
2021,Nominal,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,Valor añadido del sector manufacturo en proporción al PIB,3.7
2019,Nominal,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,Valor añadido del sector manufacturo en proporción al PIB,6.5
2015,Nominal,,,Leintz-Gatzaga,Euro per cápita,Leintz-Gatzaga,Valor añadido del sector manufacturo,1133.1
2014,Nominal,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,Valor añadido del sector manufacturo en proporción al PIB,10.1
2017,Nominal,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,Valor añadido del sector manufacturo en proporción al PIB,6.4
2016,Nominal,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,Valor añadido del sector manufacturo en proporción al PIB,8.0
2016,Nominal,,,Leintz-Gatzaga,Euro per cápita,Leintz-Gatzaga,Valor añadido del sector manufacturo,1006.1
2019,Nominal,,,Leintz-Gatzaga,Euro per cápita,Leintz-Gatzaga,Valor añadido del sector manufacturo,880.2
2018,Nominal,,,Leintz-Gatzaga,Euro per cápita,Leintz-Gatzaga,Valor añadido del sector manufacturo,694.8
2021,Nominal,,,Leintz-Gatzaga,Euro per cápita,Leintz-Gatzaga,Valor añadido del sector manufacturo,470.9
2014,Nominal,,,Leintz-Gatzaga,Euro per cápita,Leintz-Gatzaga,Valor añadido del sector manufacturo,1359.7
2017,Nominal,,,Leintz-Gatzaga,Euro per cápita,Leintz-Gatzaga,Valor añadido del sector manufacturo,772.4
2020,Nominal,,,Leintz-Gatzaga,Euro per cápita,Leintz-Gatzaga,Valor añadido del sector manufacturo,508.7
2018,Nominal,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,Valor añadido del sector manufacturo en proporción al PIB,5.1
2015,Nominal,,,Leintz-Gatzaga,Porcentaje,Leintz-Gatzaga,Valor añadido del sector manufacturo en proporción al PIB,8.4
2019,Nominal,,,Leioa,Porcentaje,Leioa,Valor añadido del sector manufacturo en proporción al PIB,12.6
2014,Nominal,,,Leioa,Porcentaje,Leioa,Valor añadido del sector manufacturo en proporción al PIB,9.7
2015,Nominal,,,Leioa,Porcentaje,Leioa,Valor añadido del sector manufacturo en proporción al PIB,10.1
2016,Nominal,,,Leioa,Porcentaje,Leioa,Valor añadido del sector manufacturo en proporción al PIB,11.0
2020,Nominal,,,Leioa,Porcentaje,Leioa,Valor añadido del sector manufacturo en proporción al PIB,13.8
2021,Nominal,,,Leioa,Porcentaje,Leioa,Valor añadido del sector manufacturo en proporción al PIB,13.0
2018,Nominal,,,Leioa,Euro per cápita,Leioa,Valor añadido del sector manufacturo,5928.4
2016,Nominal,,,Leioa,Euro per cápita,Leioa,Valor añadido del sector manufacturo,5031.0
2020,Nominal,,,Leioa,Euro per cápita,Leioa,Valor añadido del sector manufacturo,6890.2
2015,Nominal,,,Leioa,Euro per cápita,Leioa,Valor añadido del sector manufacturo,4278.2
2017,Nominal,,,Leioa,Euro per cápita,Leioa,Valor añadido del sector manufacturo,5341.1
2019,Nominal,,,Leioa,Euro per cápita,Leioa,Valor añadido del sector manufacturo,6397.1
2021,Nominal,,,Leioa,Euro per cápita,Leioa,Valor añadido del sector manufacturo,6520.1
2014,Nominal,,,Leioa,Euro per cápita,Leioa,Valor añadido del sector manufacturo,4160.7
2018,Nominal,,,Leioa,Porcentaje,Leioa,Valor añadido del sector manufacturo en proporción al PIB,12.7
2017,Nominal,,,Leioa,Porcentaje,Leioa,Valor añadido del sector manufacturo en proporción al PIB,11.6
2020,Nominal,,,Lekeitio,Porcentaje,Lekeitio,Valor añadido del sector manufacturo en proporción al PIB,1.0
2015,Nominal,,,Lekeitio,Porcentaje,Lekeitio,Valor añadido del sector manufacturo en proporción al PIB,1.6
2014,Nominal,,,Lekeitio,Euro per cápita,Lekeitio,Valor añadido del sector manufacturo,289.0
2015,Nominal,,,Lekeitio,Euro per cápita,Lekeitio,Valor añadido del sector manufacturo,292.6
2018,Nominal,,,Lekeitio,Porcentaje,Lekeitio,Valor añadido del sector manufacturo en proporción al PIB,1.2
2016,Nominal,,,Lekeitio,Porcentaje,Lekeitio,Valor añadido del sector manufacturo en proporción al PIB,1.9
2014,Nominal,,,Lekeitio,Porcentaje,Lekeitio,Valor añadido del sector manufacturo en proporción al PIB,1.8
2017,Nominal,,,Lekeitio,Porcentaje,Lekeitio,Valor añadido del sector manufacturo en proporción al PIB,2.0
2019,Nominal,,,Lekeitio,Porcentaje,Lekeitio,Valor añadido del sector manufacturo en proporción al PIB,1.1
2021,Nominal,,,Lekeitio,Porcentaje,Lekeitio,Valor añadido del sector manufacturo en proporción al PIB,1.0
2018,Nominal,,,Lekeitio,Euro per cápita,Lekeitio,Valor añadido del sector manufacturo,212.8
2016,Nominal,,,Lekeitio,Euro per cápita,Lekeitio,Valor añadido del sector manufacturo,327.3
2020,Nominal,,,Lekeitio,Euro per cápita,Lekeitio,Valor añadido del sector manufacturo,154.3
2017,Nominal,,,Lekeitio,Euro per cápita,Lekeitio,Valor añadido del sector manufacturo,329.1
2019,Nominal,,,Lekeitio,Euro per cápita,Lekeitio,Valor añadido del sector manufacturo,183.2
2021,Nominal,,,Lekeitio,Euro per cápita,Lekeitio,Valor añadido del sector manufacturo,161.3
2014,Nominal,,,Lemoa,Euro per cápita,Lemoa,Valor añadido del sector manufacturo,9053.3
2014,Nominal,,,Lemoa,Porcentaje,Lemoa,Valor añadido del sector manufacturo en proporción al PIB,31.0
2017,Nominal,,,Lemoa,Porcentaje,Lemoa,Valor añadido del sector manufacturo en proporción al PIB,31.8
2018,Nominal,,,Lemoa,Porcentaje,Lemoa,Valor añadido del sector manufacturo en proporción al PIB,26.7
2019,Nominal,,,Lemoa,Porcentaje,Lemoa,Valor añadido del sector manufacturo en proporción al PIB,30.3
2015,Nominal,,,Lemoa,Porcentaje,Lemoa,Valor añadido del sector manufacturo en proporción al PIB,29.1
2016,Nominal,,,Lemoa,Porcentaje,Lemoa,Valor añadido del sector manufacturo en proporción al PIB,32.9
2020,Nominal,,,Lemoa,Porcentaje,Lemoa,Valor añadido del sector manufacturo en proporción al PIB,29.5
2021,Nominal,,,Lemoa,Porcentaje,Lemoa,Valor añadido del sector manufacturo en proporción al PIB,34.9
2018,Nominal,,,Lemoa,Euro per cápita,Lemoa,Valor añadido del sector manufacturo,9041.6
2016,Nominal,,,Lemoa,Euro per cápita,Lemoa,Valor añadido del sector manufacturo,10834.5
2020,Nominal,,,Lemoa,Euro per cápita,Lemoa,Valor añadido del sector manufacturo,9437.6
2015,Nominal,,,Lemoa,Euro per cápita,Lemoa,Valor añadido del sector manufacturo,8912.0
2017,Nominal,,,Lemoa,Euro per cápita,Lemoa,Valor añadido del sector manufacturo,11159.7
2019,Nominal,,,Lemoa,Euro per cápita,Lemoa,Valor añadido del sector manufacturo,10626.7
2021,Nominal,,,Lemoa,Euro per cápita,Lemoa,Valor añadido del sector manufacturo,12784.2
2018,Nominal,,,Lemoiz,Porcentaje,Lemoiz,Valor añadido del sector manufacturo en proporción al PIB,0.0
2020,Nominal,,,Lemoiz,Porcentaje,Lemoiz,Valor añadido del sector manufacturo en proporción al PIB,0.0
2015,Nominal,,,Lemoiz,Porcentaje,Lemoiz,Valor añadido del sector manufacturo en proporción al PIB,0.0
2017,Nominal,,,Lemoiz,Porcentaje,Lemoiz,Valor añadido del sector manufacturo en proporción al PIB,0.0
2019,Nominal,,,Lemoiz,Porcentaje,Lemoiz,Valor añadido del sector manufacturo en proporción al PIB,0.0
2021,Nominal,,,Lemoiz,Porcentaje,Lemoiz,Valor añadido del sector manufacturo en proporción al PIB,0.0
2018,Nominal,,,Lemoiz,Euro per cápita,Lemoiz,Valor añadido del sector manufacturo,0.0
2016,Nominal,,,Lemoiz,Euro per cápita,Lemoiz,Valor añadido del sector manufacturo,0.0
2020,Nominal,,,Lemoiz,Euro per cápita,Lemoiz,Valor añadido del sector manufacturo,0.0
2015,Nominal,,,Lemoiz,Euro per cápita,Lemoiz,Valor añadido del sector manufacturo,0.0
2017,Nominal,,,Lemoiz,Euro per cápita,Lemoiz,Valor añadido del sector manufacturo,0.0
2019,Nominal,,,Lemoiz,Euro per cápita,Lemoiz,Valor añadido del sector manufacturo,0.0
2021,Nominal,,,Lemoiz,Euro per cápita,Lemoiz,Valor añadido del sector manufacturo,0.0
2014,Nominal,,,Lemoiz,Euro per cápita,Lemoiz,Valor añadido del sector manufacturo,61.0
2014,Nominal,,,Lemoiz,Porcentaje,Lemoiz,Valor añadido del sector manufacturo en proporción al PIB,0.5
2016,Nominal,,,Lemoiz,Porcentaje,Lemoiz,Valor añadido del sector manufacturo en proporción al PIB,0.0
2018,Nominal,,,Leza,Porcentaje,Leza,Valor añadido del sector manufacturo en proporción al PIB,15.0
2020,Nominal,,,Leza,Euro per cápita,Leza,Valor añadido del sector manufacturo,1661.4
2015,Nominal,,,Leza,Porcentaje,Leza,Valor añadido del sector manufacturo en proporción al PIB,32.7
2017,Nominal,,,Leza,Porcentaje,Leza,Valor añadido del sector manufacturo en proporción al PIB,32.3
2015,Nominal,,,Leza,Euro per cápita,Leza,Valor añadido del sector manufacturo,9611.9
2021,Nominal,,,Leza,Porcentaje,Leza,Valor añadido del sector manufacturo en proporción al PIB,15.9
2014,Nominal,,,Leza,Euro per cápita,Leza,Valor añadido del sector manufacturo,10878.2
2018,Nominal,,,Leza,Euro per cápita,Leza,Valor añadido del sector manufacturo,3551.4
2017,Nominal,,,Leza,Euro per cápita,Leza,Valor añadido del sector manufacturo,10812.9
2016,Nominal,,,Leza,Porcentaje,Leza,Valor añadido del sector manufacturo en proporción al PIB,31.6
2014,Nominal,,,Leza,Porcentaje,Leza,Valor añadido del sector manufacturo en proporción al PIB,41.4
2021,Nominal,,,Leza,Euro per cápita,Leza,Valor añadido del sector manufacturo,3321.0
2019,Nominal,,,Leza,Porcentaje,Leza,Valor añadido del sector manufacturo en proporción al PIB,14.3
2020,Nominal,,,Leza,Porcentaje,Leza,Valor añadido del sector manufacturo en proporción al PIB,9.4
2019,Nominal,,,Leza,Euro per cápita,Leza,Valor añadido del sector manufacturo,2857.8
2016,Nominal,,,Leza,Euro per cápita,Leza,Valor añadido del sector manufacturo,9593.6
2016,Nominal,,,Lezama,Euro per cápita,Lezama,Valor añadido del sector manufacturo,12845.9
2020,Nominal,,,Lezama,Euro per cápita,Lezama,Valor añadido del sector manufacturo,10763.5
2021,Nominal,,,Lezama,Euro per cápita,Lezama,Valor añadido del sector manufacturo,11450.1
2020,Nominal,,,Lezama,Porcentaje,Lezama,Valor añadido del sector manufacturo en proporción al PIB,18.0
2014,Nominal,,,Lezama,Porcentaje,Lezama,Valor añadido del sector manufacturo en proporción al PIB,23.6
2016,Nominal,,,Lezama,Porcentaje,Lezama,Valor añadido del sector manufacturo en proporción al PIB,24.1
2021,Nominal,,,Lezama,Porcentaje,Lezama,Valor añadido del sector manufacturo en proporción al PIB,17.9
2017,Nominal,,,Lezama,Porcentaje,Lezama,Valor añadido del sector manufacturo en proporción al PIB,23.9
2019,Nominal,,,Lezama,Porcentaje,Lezama,Valor añadido del sector manufacturo en proporción al PIB,20.5
2018,Nominal,,,Lezama,Euro per cápita,Lezama,Valor añadido del sector manufacturo,11730.0
2014,Nominal,,,Lezama,Euro per cápita,Lezama,Valor añadido del sector manufacturo,12003.8
2019,Nominal,,,Lezama,Euro per cápita,Lezama,Valor añadido del sector manufacturo,11647.2
2015,Nominal,,,Lezama,Porcentaje,Lezama,Valor añadido del sector manufacturo en proporción al PIB,23.2
2017,Nominal,,,Lezama,Euro per cápita,Lezama,Valor añadido del sector manufacturo,12236.3
2015,Nominal,,,Lezama,Euro per cápita,Lezama,Valor añadido del sector manufacturo,12998.1
2018,Nominal,,,Lezama,Porcentaje,Lezama,Valor añadido del sector manufacturo en proporción al PIB,25.6
2014,Nominal,,,Lezo,Euro per cápita,Lezo,Valor añadido del sector manufacturo,12999.2
2021,Nominal,,,Lezo,Porcentaje,Lezo,Valor añadido del sector manufacturo en proporción al PIB,33.0
2016,Nominal,,,Lezo,Porcentaje,Lezo,Valor añadido del sector manufacturo en proporción al PIB,32.5
2019,Nominal,,,Lezo,Euro per cápita,Lezo,Valor añadido del sector manufacturo,13638.8
2020,Nominal,,,Lezo,Euro per cápita,Lezo,Valor añadido del sector manufacturo,13547.6
2020,Nominal,,,Lezo,Porcentaje,Lezo,Valor añadido del sector manufacturo en proporción al PIB,32.6
2018,Nominal,,,Lezo,Porcentaje,Lezo,Valor añadido del sector manufacturo en proporción al PIB,31.6
2019,Nominal,,,Lezo,Porcentaje,Lezo,Valor añadido del sector manufacturo en proporción al PIB,31.5
2015,Nominal,,,Lezo,Euro per cápita,Lezo,Valor añadido del sector manufacturo,13545.9
2018,Nominal,,,Lezo,Euro per cápita,Lezo,Valor añadido del sector manufacturo,13404.8
2016,Nominal,,,Lezo,Euro per cápita,Lezo,Valor añadido del sector manufacturo,13382.7
2014,Nominal,,,Lezo,Porcentaje,Lezo,Valor añadido del sector manufacturo en proporción al PIB,36.5
2017,Nominal,,,Lezo,Porcentaje,Lezo,Valor añadido del sector manufacturo en proporción al PIB,31.2
2021,Nominal,,,Lezo,Euro per cápita,Lezo,Valor añadido del sector manufacturo,14516.3
2017,Nominal,,,Lezo,Euro per cápita,Lezo,Valor añadido del sector manufacturo,13072.3
2015,Nominal,,,Lezo,Porcentaje,Lezo,Valor añadido del sector manufacturo en proporción al PIB,34.2
2020,Nominal,,,Lizartza,Porcentaje,Lizartza,Valor añadido del sector manufacturo en proporción al PIB,43.5
2015,Nominal,,,Lizartza,Euro per cápita,Lizartza,Valor añadido del sector manufacturo,14543.6
2021,Nominal,,,Lizartza,Euro per cápita,Lizartza,Valor añadido del sector manufacturo,18543.5
2019,Nominal,,,Lizartza,Euro per cápita,Lizartza,Valor añadido del sector manufacturo,17888.9
2017,Nominal,,,Lizartza,Euro per cápita,Lizartza,Valor añadido del sector manufacturo,17505.1
2014,Nominal,,,Lizartza,Euro per cápita,Lizartza,Valor añadido del sector manufacturo,12757.5
2016,Nominal,,,Lizartza,Euro per cápita,Lizartza,Valor añadido del sector manufacturo,16103.2
2020,Nominal,,,Lizartza,Euro per cápita,Lizartza,Valor añadido del sector manufacturo,14653.8
2018,Nominal,,,Lizartza,Porcentaje,Lizartza,Valor añadido del sector manufacturo en proporción al PIB,58.5
2017,Nominal,,,Lizartza,Porcentaje,Lizartza,Valor añadido del sector manufacturo en proporción al PIB,54.6
2018,Nominal,,,Lizartza,Euro per cápita,Lizartza,Valor añadido del sector manufacturo,19530.6
2016,Nominal,,,Lizartza,Porcentaje,Lizartza,Valor añadido del sector manufacturo en proporción al PIB,54.6
2019,Nominal,,,Lizartza,Porcentaje,Lizartza,Valor añadido del sector manufacturo en proporción al PIB,47.9
2021,Nominal,,,Lizartza,Porcentaje,Lizartza,Valor añadido del sector manufacturo en proporción al PIB,48.5
2014,Nominal,,,Lizartza,Porcentaje,Lizartza,Valor añadido del sector manufacturo en proporción al PIB,47.7
2015,Nominal,,,Lizartza,Porcentaje,Lizartza,Valor añadido del sector manufacturo en proporción al PIB,53.4
2021,Nominal,,,Loiu,Euro per cápita,Loiu,Valor añadido del sector manufacturo,54695.3
2017,Nominal,,,Loiu,Euro per cápita,Loiu,Valor añadido del sector manufacturo,40083.3
2019,Nominal,,,Loiu,Euro per cápita,Loiu,Valor añadido del sector manufacturo,41094.3
2018,Nominal,,,Loiu,Euro per cápita,Loiu,Valor añadido del sector manufacturo,43913.0
2019,Nominal,,,Loiu,Porcentaje,Loiu,Valor añadido del sector manufacturo en proporción al PIB,18.2
2020,Nominal,,,Loiu,Porcentaje,Loiu,Valor añadido del sector manufacturo en proporción al PIB,21.5
2014,Nominal,,,Loiu,Porcentaje,Loiu,Valor añadido del sector manufacturo en proporción al PIB,19.6
2020,Nominal,,,Loiu,Euro per cápita,Loiu,Valor añadido del sector manufacturo,36511.2
2015,Nominal,,,Loiu,Porcentaje,Loiu,Valor añadido del sector manufacturo en proporción al PIB,17.3
2017,Nominal,,,Loiu,Porcentaje,Loiu,Valor añadido del sector manufacturo en proporción al PIB,18.8
2016,Nominal,,,Loiu,Porcentaje,Loiu,Valor añadido del sector manufacturo en proporción al PIB,16.2
2016,Nominal,,,Loiu,Euro per cápita,Loiu,Valor añadido del sector manufacturo,32474.5
2018,Nominal,,,Loiu,Porcentaje,Loiu,Valor añadido del sector manufacturo en proporción al PIB,19.5
2014,Nominal,,,Loiu,Euro per cápita,Loiu,Valor añadido del sector manufacturo,33277.5
2021,Nominal,,,Loiu,Porcentaje,Loiu,Valor añadido del sector manufacturo en proporción al PIB,27.7
2015,Nominal,,,Loiu,Euro per cápita,Loiu,Valor añadido del sector manufacturo,31017.9
2016,Nominal,,,Mallabia,Porcentaje,Mallabia,Valor añadido del sector manufacturo en proporción al PIB,64.9
2014,Nominal,,,Mallabia,Porcentaje,Mallabia,Valor añadido del sector manufacturo en proporción al PIB,64.4
2020,Nominal,,,Mallabia,Porcentaje,Mallabia,Valor añadido del sector manufacturo en proporción al PIB,66.6
2015,Nominal,,,Mallabia,Porcentaje,Mallabia,Valor añadido del sector manufacturo en proporción al PIB,65.3
2019,Nominal,,,Mallabia,Porcentaje,Mallabia,Valor añadido del sector manufacturo en proporción al PIB,67.3
2021,Nominal,,,Mallabia,Porcentaje,Mallabia,Valor añadido del sector manufacturo en proporción al PIB,69.2
2018,Nominal,,,Mallabia,Euro per cápita,Mallabia,Valor añadido del sector manufacturo,95496.4
2016,Nominal,,,Mallabia,Euro per cápita,Mallabia,Valor añadido del sector manufacturo,72013.6
2020,Nominal,,,Mallabia,Euro per cápita,Mallabia,Valor añadido del sector manufacturo,96368.8
2015,Nominal,,,Mallabia,Euro per cápita,Mallabia,Valor añadido del sector manufacturo,64791.1
2017,Nominal,,,Mallabia,Euro per cápita,Mallabia,Valor añadido del sector manufacturo,79825.7
2019,Nominal,,,Mallabia,Euro per cápita,Mallabia,Valor añadido del sector manufacturo,100383.2
2021,Nominal,,,Mallabia,Euro per cápita,Mallabia,Valor añadido del sector manufacturo,148001.7
2014,Nominal,,,Mallabia,Euro per cápita,Mallabia,Valor añadido del sector manufacturo,60395.4
2018,Nominal,,,Mallabia,Porcentaje,Mallabia,Valor añadido del sector manufacturo en proporción al PIB,69.1
2017,Nominal,,,Mallabia,Porcentaje,Mallabia,Valor añadido del sector manufacturo en proporción al PIB,65.2
2020,Nominal,,,Mañaria,Porcentaje,Mañaria,Valor añadido del sector manufacturo en proporción al PIB,32.1
2018,Nominal,,,Mañaria,Porcentaje,Mañaria,Valor añadido del sector manufacturo en proporción al PIB,34.7
2016,Nominal,,,Mañaria,Porcentaje,Mañaria,Valor añadido del sector manufacturo en proporción al PIB,36.1
2015,Nominal,,,Mañaria,Porcentaje,Mañaria,Valor añadido del sector manufacturo en proporción al PIB,30.0
2019,Nominal,,,Mañaria,Porcentaje,Mañaria,Valor añadido del sector manufacturo en proporción al PIB,29.1
2021,Nominal,,,Mañaria,Porcentaje,Mañaria,Valor añadido del sector manufacturo en proporción al PIB,35.4
2017,Nominal,,,Mañaria,Euro per cápita,Mañaria,Valor añadido del sector manufacturo,8597.5
2014,Nominal,,,Mañaria,Euro per cápita,Mañaria,Valor añadido del sector manufacturo,9338.6
2016,Nominal,,,Mañaria,Euro per cápita,Mañaria,Valor añadido del sector manufacturo,9794.2
2020,Nominal,,,Mañaria,Euro per cápita,Mañaria,Valor añadido del sector manufacturo,8926.8
2015,Nominal,,,Mañaria,Euro per cápita,Mañaria,Valor añadido del sector manufacturo,9042.3
2019,Nominal,,,Mañaria,Euro per cápita,Mañaria,Valor añadido del sector manufacturo,9190.8
2021,Nominal,,,Mañaria,Euro per cápita,Mañaria,Valor añadido del sector manufacturo,11178.5
2014,Nominal,,,Mañaria,Porcentaje,Mañaria,Valor añadido del sector manufacturo en proporción al PIB,32.5
2017,Nominal,,,Mañaria,Porcentaje,Mañaria,Valor añadido del sector manufacturo en proporción al PIB,37.0
2018,Nominal,,,Mañaria,Euro per cápita,Mañaria,Valor añadido del sector manufacturo,9704.3
2016,Nominal,,,Markina-Xemein,Euro per cápita,Markina-Xemein,Valor añadido del sector manufacturo,3761.0
2015,Nominal,,,Markina-Xemein,Euro per cápita,Markina-Xemein,Valor añadido del sector manufacturo,3601.4
2014,Nominal,,,Markina-Xemein,Euro per cápita,Markina-Xemein,Valor añadido del sector manufacturo,3707.0
2020,Nominal,,,Markina-Xemein,Porcentaje,Markina-Xemein,Valor añadido del sector manufacturo en proporción al PIB,17.1
2018,Nominal,,,Markina-Xemein,Porcentaje,Markina-Xemein,Valor añadido del sector manufacturo en proporción al PIB,19.7
2016,Nominal,,,Markina-Xemein,Porcentaje,Markina-Xemein,Valor añadido del sector manufacturo en proporción al PIB,16.1
2015,Nominal,,,Markina-Xemein,Porcentaje,Markina-Xemein,Valor añadido del sector manufacturo en proporción al PIB,16.5
2019,Nominal,,,Markina-Xemein,Porcentaje,Markina-Xemein,Valor añadido del sector manufacturo en proporción al PIB,18.7
2021,Nominal,,,Markina-Xemein,Porcentaje,Markina-Xemein,Valor añadido del sector manufacturo en proporción al PIB,17.5
2020,Nominal,,,Markina-Xemein,Euro per cápita,Markina-Xemein,Valor añadido del sector manufacturo,3833.0
2021,Nominal,,,Markina-Xemein,Euro per cápita,Markina-Xemein,Valor añadido del sector manufacturo,4263.5
2019,Nominal,,,Markina-Xemein,Euro per cápita,Markina-Xemein,Valor añadido del sector manufacturo,4683.4
2017,Nominal,,,Markina-Xemein,Euro per cápita,Markina-Xemein,Valor añadido del sector manufacturo,4145.9
