Year,Series,Tipo de valor,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Güeñes,Porcentaje,Güeñes,8.2
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Harana/Valle de Arana,Euro per cápita,Harana/Valle de Arana,1672.1
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Harana/Valle de Arana,Euro per cápita,Harana/Valle de Arana,1902.4
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Harana/Valle de Arana,Euro per cápita,Harana/Valle de Arana,291.8
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Harana/Valle de Arana,Euro per cápita,Harana/Valle de Arana,2309.6
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Harana/Valle de Arana,Euro per cápita,Harana/Valle de Arana,3402.1
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Harana/Valle de Arana,Euro per cápita,Harana/Valle de Arana,2859.5
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Harana/Valle de Arana,Euro per cápita,Harana/Valle de Arana,1236.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,10.6
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,14.6
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Harana/Valle de Arana,Euro per cápita,Harana/Valle de Arana,2974.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,10.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,6.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,8.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,1.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,8.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Harana/Valle de Arana,Porcentaje,Harana/Valle de Arana,12.9
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernani,Euro per cápita,Hernani,16847.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernani,Porcentaje,Hernani,35.4
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernani,Euro per cápita,Hernani,16377.8
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernani,Euro per cápita,Hernani,15817.1
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernani,Euro per cápita,Hernani,14327.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernani,Porcentaje,Hernani,37.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernani,Porcentaje,Hernani,36.7
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernani,Euro per cápita,Hernani,13173.4
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernani,Euro per cápita,Hernani,14091.3
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernani,Euro per cápita,Hernani,15330.6
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernani,Euro per cápita,Hernani,16062.5
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernani,Porcentaje,Hernani,36.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernani,Porcentaje,Hernani,36.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernani,Porcentaje,Hernani,37.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernani,Porcentaje,Hernani,38.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernani,Porcentaje,Hernani,37.4
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernialde,Euro per cápita,Hernialde,160.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernialde,Porcentaje,Hernialde,2.1
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernialde,Euro per cápita,Hernialde,308.2
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernialde,Euro per cápita,Hernialde,276.3
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernialde,Euro per cápita,Hernialde,0.0
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernialde,Euro per cápita,Hernialde,234.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernialde,Porcentaje,Hernialde,2.7
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernialde,Porcentaje,Hernialde,2.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernialde,Porcentaje,Hernialde,0.0
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernialde,Euro per cápita,Hernialde,127.8
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernialde,Euro per cápita,Hernialde,246.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernialde,Porcentaje,Hernialde,1.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernialde,Porcentaje,Hernialde,2.2
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernialde,Porcentaje,Hernialde,1.1
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Hernialde,Euro per cápita,Hernialde,268.2
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hernialde,Porcentaje,Hernialde,2.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hondarribia,Porcentaje,Hondarribia,1.4
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Hondarribia,Euro per cápita,Hondarribia,422.4
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Hondarribia,Euro per cápita,Hondarribia,267.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hondarribia,Porcentaje,Hondarribia,1.9
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Hondarribia,Euro per cápita,Hondarribia,318.1
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Hondarribia,Euro per cápita,Hondarribia,405.6
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Hondarribia,Euro per cápita,Hondarribia,454.4
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hondarribia,Porcentaje,Hondarribia,1.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hondarribia,Porcentaje,Hondarribia,1.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hondarribia,Porcentaje,Hondarribia,1.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hondarribia,Porcentaje,Hondarribia,1.8
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Hondarribia,Euro per cápita,Hondarribia,362.8
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Hondarribia,Euro per cápita,Hondarribia,397.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hondarribia,Porcentaje,Hondarribia,1.4
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Hondarribia,Porcentaje,Hondarribia,1.2
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Hondarribia,Euro per cápita,Hondarribia,257.3
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarra,Euro per cápita,Ibarra,14064.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarra,Porcentaje,Ibarra,50.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarra,Porcentaje,Ibarra,47.6
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarra,Porcentaje,Ibarra,49.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarra,Porcentaje,Ibarra,48.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarra,Porcentaje,Ibarra,46.9
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarra,Porcentaje,Ibarra,50.2
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarra,Porcentaje,Ibarra,46.1
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarra,Porcentaje,Ibarra,49.8
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarra,Euro per cápita,Ibarra,14642.9
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarra,Euro per cápita,Ibarra,14884.5
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarra,Euro per cápita,Ibarra,14611.2
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarra,Euro per cápita,Ibarra,15445.1
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarra,Euro per cápita,Ibarra,12861.6
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarra,Euro per cápita,Ibarra,14466.6
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarra,Euro per cápita,Ibarra,15642.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarrangelu,Porcentaje,Ibarrangelu,0.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarrangelu,Porcentaje,Ibarrangelu,0.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarrangelu,Porcentaje,Ibarrangelu,2.1
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarrangelu,Porcentaje,Ibarrangelu,0.5
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarrangelu,Euro per cápita,Ibarrangelu,446.6
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarrangelu,Euro per cápita,Ibarrangelu,125.1
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarrangelu,Euro per cápita,Ibarrangelu,181.0
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarrangelu,Euro per cápita,Ibarrangelu,121.7
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarrangelu,Euro per cápita,Ibarrangelu,500.8
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarrangelu,Euro per cápita,Ibarrangelu,100.1
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarrangelu,Euro per cápita,Ibarrangelu,118.9
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Ibarrangelu,Euro per cápita,Ibarrangelu,194.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarrangelu,Porcentaje,Ibarrangelu,1.0
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarrangelu,Porcentaje,Ibarrangelu,0.9
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarrangelu,Porcentaje,Ibarrangelu,1.9
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ibarrangelu,Porcentaje,Ibarrangelu,0.6
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Idiazabal,Euro per cápita,Idiazabal,37748.3
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Idiazabal,Euro per cápita,Idiazabal,30073.3
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Idiazabal,Euro per cápita,Idiazabal,31095.3
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Idiazabal,Euro per cápita,Idiazabal,32720.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Idiazabal,Porcentaje,Idiazabal,60.5
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Idiazabal,Euro per cápita,Idiazabal,35674.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Idiazabal,Porcentaje,Idiazabal,60.5
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Idiazabal,Porcentaje,Idiazabal,63.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Idiazabal,Porcentaje,Idiazabal,57.2
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Idiazabal,Porcentaje,Idiazabal,60.4
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Idiazabal,Porcentaje,Idiazabal,56.5
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Idiazabal,Euro per cápita,Idiazabal,28042.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Idiazabal,Porcentaje,Idiazabal,65.3
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Idiazabal,Euro per cápita,Idiazabal,27520.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Idiazabal,Euro per cápita,Idiazabal,30466.9
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Idiazabal,Porcentaje,Idiazabal,56.5
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Igorre,Euro per cápita,Igorre,26255.6
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Igorre,Porcentaje,Igorre,59.1
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Igorre,Euro per cápita,Igorre,26034.2
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Igorre,Euro per cápita,Igorre,26882.0
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Igorre,Euro per cápita,Igorre,29560.7
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Igorre,Porcentaje,Igorre,56.3
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Igorre,Porcentaje,Igorre,63.3
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Igorre,Euro per cápita,Igorre,28861.7
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Igorre,Porcentaje,Igorre,58.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Igorre,Porcentaje,Igorre,59.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Igorre,Porcentaje,Igorre,61.8
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Igorre,Porcentaje,Igorre,59.4
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Igorre,Euro per cápita,Igorre,28346.2
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Igorre,Euro per cápita,Igorre,28989.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Igorre,Porcentaje,Igorre,60.8
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Igorre,Euro per cápita,Igorre,26330.3
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Ikaztegieta,Euro per cápita,Ikaztegieta,18123.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ikaztegieta,Porcentaje,Ikaztegieta,28.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ikaztegieta,Porcentaje,Ikaztegieta,34.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ikaztegieta,Porcentaje,Ikaztegieta,35.0
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ikaztegieta,Porcentaje,Ikaztegieta,28.1
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Ikaztegieta,Euro per cápita,Ikaztegieta,17302.7
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Ikaztegieta,Euro per cápita,Ikaztegieta,15401.2
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Ikaztegieta,Euro per cápita,Ikaztegieta,15966.4
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Ikaztegieta,Euro per cápita,Ikaztegieta,17246.6
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ikaztegieta,Porcentaje,Ikaztegieta,36.8
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ikaztegieta,Porcentaje,Ikaztegieta,31.6
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ikaztegieta,Porcentaje,Ikaztegieta,30.4
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ikaztegieta,Porcentaje,Ikaztegieta,24.8
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Ikaztegieta,Euro per cápita,Ikaztegieta,15204.5
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Ikaztegieta,Euro per cápita,Ikaztegieta,16722.1
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Ikaztegieta,Euro per cápita,Ikaztegieta,20657.3
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Irun,Euro per cápita,Irun,4533.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irun,Porcentaje,Irun,14.4
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Irun,Euro per cápita,Irun,4242.1
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Irun,Euro per cápita,Irun,4231.0
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Irun,Euro per cápita,Irun,3412.3
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irun,Porcentaje,Irun,13.5
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Irun,Euro per cápita,Irun,4536.9
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Irun,Euro per cápita,Irun,3845.9
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irun,Porcentaje,Irun,14.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Irun,Euro per cápita,Irun,3858.7
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irun,Porcentaje,Irun,12.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irun,Porcentaje,Irun,14.5
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Irun,Euro per cápita,Irun,3724.6
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irun,Porcentaje,Irun,14.0
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irun,Porcentaje,Irun,13.4
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irun,Porcentaje,Irun,13.7
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,25.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,24.7
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,25.5
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,25.6
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruña Oka/Iruña de Oca,Euro per cápita,Iruña Oka/Iruña de Oca,11720.4
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruña Oka/Iruña de Oca,Euro per cápita,Iruña Oka/Iruña de Oca,15159.2
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruña Oka/Iruña de Oca,Euro per cápita,Iruña Oka/Iruña de Oca,10972.6
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruña Oka/Iruña de Oca,Euro per cápita,Iruña Oka/Iruña de Oca,10645.7
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruña Oka/Iruña de Oca,Euro per cápita,Iruña Oka/Iruña de Oca,11410.9
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruña Oka/Iruña de Oca,Euro per cápita,Iruña Oka/Iruña de Oca,12024.7
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruña Oka/Iruña de Oca,Euro per cápita,Iruña Oka/Iruña de Oca,10484.2
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruña Oka/Iruña de Oca,Euro per cápita,Iruña Oka/Iruña de Oca,10996.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,27.2
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,27.4
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,27.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruña Oka/Iruña de Oca,Porcentaje,Iruña Oka/Iruña de Oca,27.6
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Irura,Euro per cápita,Irura,43743.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Irura,Euro per cápita,Irura,42621.5
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Irura,Euro per cápita,Irura,39075.7
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Irura,Euro per cápita,Irura,43246.5
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irura,Porcentaje,Irura,63.5
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irura,Porcentaje,Irura,63.7
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Irura,Euro per cápita,Irura,40637.9
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irura,Porcentaje,Irura,61.0
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irura,Porcentaje,Irura,61.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irura,Porcentaje,Irura,58.6
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Irura,Euro per cápita,Irura,44103.1
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irura,Porcentaje,Irura,62.2
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Irura,Euro per cápita,Irura,32455.1
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Irura,Euro per cápita,Irura,44864.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irura,Porcentaje,Irura,57.3
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Irura,Porcentaje,Irura,62.1
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruraiz-Gauna,Euro per cápita,Iruraiz-Gauna,321.3
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruraiz-Gauna,Euro per cápita,Iruraiz-Gauna,7.2
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruraiz-Gauna,Euro per cápita,Iruraiz-Gauna,158.8
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,0.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,0.8
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,0.6
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruraiz-Gauna,Euro per cápita,Iruraiz-Gauna,148.5
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruraiz-Gauna,Euro per cápita,Iruraiz-Gauna,207.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,0.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,1.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,2.0
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruraiz-Gauna,Euro per cápita,Iruraiz-Gauna,42.2
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruraiz-Gauna,Euro per cápita,Iruraiz-Gauna,363.0
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,0.7
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Iruraiz-Gauna,Euro per cápita,Iruraiz-Gauna,146.7
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Iruraiz-Gauna,Porcentaje,Iruraiz-Gauna,2.3
2018,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ispaster,Porcentaje,Ispaster,3.0
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ispaster,Porcentaje,Ispaster,38.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ispaster,Porcentaje,Ispaster,5.0
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ispaster,Porcentaje,Ispaster,36.3
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ispaster,Porcentaje,Ispaster,25.2
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Ispaster,Euro per cápita,Ispaster,400.3
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Ispaster,Euro per cápita,Ispaster,5356.9
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Ispaster,Euro per cápita,Ispaster,7974.7
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Ispaster,Euro per cápita,Ispaster,371.7
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Ispaster,Euro per cápita,Ispaster,645.7
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Ispaster,Euro per cápita,Ispaster,8876.2
2020,Valor añadido del sector manufacturo per cápita,Nominal,,,Ispaster,Euro per cápita,Ispaster,666.2
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ispaster,Porcentaje,Ispaster,26.7
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ispaster,Porcentaje,Ispaster,2.6
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Ispaster,Euro per cápita,Ispaster,4713.6
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Ispaster,Porcentaje,Ispaster,4.3
2015,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Itsasondo,Porcentaje,Itsasondo,63.1
2014,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Itsasondo,Porcentaje,Itsasondo,60.3
2021,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Itsasondo,Porcentaje,Itsasondo,63.4
2016,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Itsasondo,Porcentaje,Itsasondo,64.0
2017,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Itsasondo,Porcentaje,Itsasondo,62.0
2017,Valor añadido del sector manufacturo per cápita,Nominal,,,Itsasondo,Euro per cápita,Itsasondo,21086.1
2020,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Itsasondo,Porcentaje,Itsasondo,67.4
2018,Valor añadido del sector manufacturo per cápita,Nominal,,,Itsasondo,Euro per cápita,Itsasondo,18828.2
2015,Valor añadido del sector manufacturo per cápita,Nominal,,,Itsasondo,Euro per cápita,Itsasondo,21693.5
2019,Valor añadido del sector manufacturo en proporción al PIB,Nominal,,,Itsasondo,Porcentaje,Itsasondo,63.0
2021,Valor añadido del sector manufacturo per cápita,Nominal,,,Itsasondo,Euro per cápita,Itsasondo,26399.4
2016,Valor añadido del sector manufacturo per cápita,Nominal,,,Itsasondo,Euro per cápita,Itsasondo,22186.8
2019,Valor añadido del sector manufacturo per cápita,Nominal,,,Itsasondo,Euro per cápita,Itsasondo,22785.6
2014,Valor añadido del sector manufacturo per cápita,Nominal,,,Itsasondo,Euro per cápita,Itsasondo,18559.3
