Year,Series,Actividad económica,Forma de medir el empleo,Sexo,Territorio histórico,Units,Value
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Abaltzisketa,Porcentaje,0.6
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Tolosaldea,Porcentaje,34.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ondarroa,Porcentaje,8.6
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ondarroa,Porcentaje,9.1
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ondarroa,Porcentaje,8.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ondarroa,Porcentaje,7.5
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,42.9
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Abaltzisketa,Porcentaje,0.5
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Tolosaldea,Porcentaje,35.7
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Tolosaldea,Porcentaje,35.6
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Tolosaldea,Porcentaje,35.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Otxandio,Porcentaje,41.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Otxandio,Porcentaje,37.4
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aramaio,Porcentaje,25.3
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Otxandio,Porcentaje,38.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Abaltzisketa,Porcentaje,0.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Tolosaldea,Porcentaje,35.3
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Otxandio,Porcentaje,42.4
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Otxandio,Porcentaje,44.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Otxandio,Porcentaje,44.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Otxandio,Porcentaje,38.5
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Abaltzisketa,Porcentaje,0.6
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Oñati,Porcentaje,55.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muskiz,Porcentaje,37.7
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,43.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muskiz,Porcentaje,39.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Oñati,Porcentaje,59.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muskiz,Porcentaje,39.1
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muskiz,Porcentaje,37.2
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Abaltzisketa,Porcentaje,2.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muskiz,Porcentaje,37.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muskiz,Porcentaje,42.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Oñati,Porcentaje,59.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Oñati,Porcentaje,58.2
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Oñati,Porcentaje,56.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aulesti,Porcentaje,14.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aulesti,Porcentaje,12.4
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amurrio,Porcentaje,47.0
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baños de Ebro/Mañueta,Porcentaje,32.1
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Abaltzisketa,Porcentaje,2.2
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Oñati,Porcentaje,58.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aulesti,Porcentaje,18.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aulesti,Porcentaje,14.7
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Olaberria,Porcentaje,51.5
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aulesti,Porcentaje,13.3
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,41.1
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aulesti,Porcentaje,17.5
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Aulesti,Porcentaje,14.3
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Olaberria,Porcentaje,56.4
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,22.8
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,21.9
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,21.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,21.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,22.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,21.5
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Plentzia-Mungia,Porcentaje,22.6
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,42.8
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lantarón,Porcentaje,74.4
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Olaberria,Porcentaje,55.7
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Olaberria,Porcentaje,56.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Olaberria,Porcentaje,55.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mungia,Porcentaje,35.3
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mungia,Porcentaje,32.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baños de Ebro/Mañueta,Porcentaje,34.1
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,45.1
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lantarón,Porcentaje,75.6
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Olaberria,Porcentaje,57.3
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mungia,Porcentaje,34.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mungia,Porcentaje,34.7
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mungia,Porcentaje,35.1
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mungia,Porcentaje,33.3
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutiloa,Porcentaje,1.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mungia,Porcentaje,31.7
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,12.3
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,20.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,14.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,42.3
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,12.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutiloa,Porcentaje,0.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,14.2
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,12.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lantarón,Porcentaje,75.3
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mundaka,Porcentaje,17.4
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutiloa,Porcentaje,0.0
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muxika,Porcentaje,37.2
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lantarón,Porcentaje,73.4
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutiloa,Porcentaje,1.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutiloa,Porcentaje,1.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muxika,Porcentaje,35.1
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amurrio,Porcentaje,44.8
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Laguardia,Porcentaje,40.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lantarón,Porcentaje,76.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muxika,Porcentaje,34.7
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muxika,Porcentaje,36.0
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muxika,Porcentaje,36.3
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lantarón,Porcentaje,73.8
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muxika,Porcentaje,35.2
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Muxika,Porcentaje,36.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,4.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,7.3
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,3.9
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,24.4
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,5.7
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,27.3
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,22.7
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Morga,Porcentaje,7.5
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,29.1
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,10.3
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Iruña Oka/Iruña de Oca,Porcentaje,28.8
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,26.8
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,22.2
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,23.1
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,23.0
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,22.6
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,19.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,2.1
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Iruña Oka/Iruña de Oca,Porcentaje,28.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mutriku,Porcentaje,22.1
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,23.4
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,23.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Iruña Oka/Iruña de Oca,Porcentaje,32.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,24.1
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ugao-Miraballes,Porcentaje,23.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,1.2
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,2.7
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,1.1
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,3.4
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baños de Ebro/Mañueta,Porcentaje,35.0
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,1.2
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arrasate/Mondragón,Porcentaje,24.1
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,2.3
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arrasate/Mondragón,Porcentaje,23.2
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Iruña Oka/Iruña de Oca,Porcentaje,28.8
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Meñaka,Porcentaje,3.5
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Iruña Oka/Iruña de Oca,Porcentaje,25.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendexa,Porcentaje,19.7
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arrasate/Mondragón,Porcentaje,26.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendexa,Porcentaje,19.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendexa,Porcentaje,21.6
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amurrio,Porcentaje,46.8
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,0.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Iruña Oka/Iruña de Oca,Porcentaje,30.8
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arrasate/Mondragón,Porcentaje,27.2
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendexa,Porcentaje,18.9
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendexa,Porcentaje,20.7
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lizartza,Porcentaje,52.5
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendexa,Porcentaje,20.3
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendata,Porcentaje,0.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendata,Porcentaje,0.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lizartza,Porcentaje,59.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendata,Porcentaje,0.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,0.0
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lizartza,Porcentaje,51.6
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendata,Porcentaje,0.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mendata,Porcentaje,0.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,3.8
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zuia,Porcentaje,8.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,2.8
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lizartza,Porcentaje,56.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,1.5
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baños de Ebro/Mañueta,Porcentaje,31.5
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lizartza,Porcentaje,59.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,5.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lizartza,Porcentaje,56.1
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,4.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,5.8
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,4.3
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Maruri-Jatabe,Porcentaje,2.1
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zuia,Porcentaje,5.2
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Xemein,Porcentaje,21.3
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,38.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Xemein,Porcentaje,25.8
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Xemein,Porcentaje,22.4
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Xemein,Porcentaje,27.8
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,37.3
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Xemein,Porcentaje,25.5
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zuia,Porcentaje,7.8
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Xemein,Porcentaje,23.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,7.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,43.8
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,37.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Ondarroa,Porcentaje,31.2
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,38.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Ondarroa,Porcentaje,33.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,40.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Ondarroa,Porcentaje,33.1
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amurrio,Porcentaje,48.4
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Baños de Ebro/Mañueta,Porcentaje,34.8
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,0.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zuia,Porcentaje,7.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lezo,Porcentaje,37.7
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Ondarroa,Porcentaje,34.4
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Ondarroa,Porcentaje,35.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zuia,Porcentaje,4.7
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Markina-Ondarroa,Porcentaje,31.6
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lagrán,Porcentaje,0.0
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mañaria,Porcentaje,47.7
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mañaria,Porcentaje,43.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legorreta,Porcentaje,50.4
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mañaria,Porcentaje,41.9
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legorreta,Porcentaje,51.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mañaria,Porcentaje,40.1
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zambrana,Porcentaje,1.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mañaria,Porcentaje,42.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legorreta,Porcentaje,50.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legorreta,Porcentaje,49.9
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zambrana,Porcentaje,0.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legorreta,Porcentaje,49.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mallabia,Porcentaje,76.8
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zambrana,Porcentaje,1.5
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mallabia,Porcentaje,76.0
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legorreta,Porcentaje,53.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mallabia,Porcentaje,75.1
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mallabia,Porcentaje,74.3
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legorreta,Porcentaje,50.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mallabia,Porcentaje,75.6
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mallabia,Porcentaje,72.9
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Mallabia,Porcentaje,73.9
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zambrana,Porcentaje,1.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legazpi,Porcentaje,49.1
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lekeitio,Porcentaje,3.8
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lekeitio,Porcentaje,2.3
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lekeitio,Porcentaje,3.9
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legazpi,Porcentaje,50.2
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Ayala/Aiara,Porcentaje,35.3
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zambrana,Porcentaje,1.4
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lekeitio,Porcentaje,2.6
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lekeitio,Porcentaje,3.9
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lekeitio,Porcentaje,2.9
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legazpi,Porcentaje,48.3
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lekeitio,Porcentaje,2.5
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Mendialdea / Montaña Alavesa,Porcentaje,20.8
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zambrana,Porcentaje,1.5
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoiz,Porcentaje,0.0
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoiz,Porcentaje,0.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoiz,Porcentaje,0.0
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legazpi,Porcentaje,45.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoiz,Porcentaje,0.9
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zambrana,Porcentaje,1.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Legazpi,Porcentaje,48.7
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoiz,Porcentaje,0.0
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoiz,Porcentaje,0.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoiz,Porcentaje,0.0
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Mendialdea / Montaña Alavesa,Porcentaje,21.1
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zalduondo,Porcentaje,0.0
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,31.7
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,29.7
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leaburu,Porcentaje,46.1
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,30.5
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Mendialdea / Montaña Alavesa,Porcentaje,19.1
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zalduondo,Porcentaje,0.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,32.2
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,35.2
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,30.2
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leaburu,Porcentaje,47.0
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Lemoa,Porcentaje,31.9
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Arabako Mendialdea / Montaña Alavesa,Porcentaje,18.6
2015,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leaburu,Porcentaje,46.4
2021,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leaburu,Porcentaje,46.4
2020,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leioa,Porcentaje,7.2
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leaburu,Porcentaje,48.0
2014,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leioa,Porcentaje,7.3
2016,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Amurrio,Porcentaje,49.3
2017,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Zalduondo,Porcentaje,0.0
2019,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leioa,Porcentaje,7.3
2018,Empleo en el sector manufacturero,Manufactura,Puestos de trabajo,,Leioa,Porcentaje,7.7
