Year,Series,Sexua,Adina,Lurralde historikoa,Units,Value
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,13.0
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,18.1
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,9.2
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,8.9
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,10.3
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,13.6
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Emakumea,25-64 urte,Gipuzkoa,Porcentaje,14.5
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,72.3
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,81.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,81.0
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,76.8
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,78.5
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,78.7
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,79.0
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,74.9
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,79.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,70.8
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,81.2
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,79.8
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,75.2
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,,Porcentaje,79.7
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,76.6
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,78.4
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,75.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,80.3
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,74.5
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,75.8
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,64.3
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,75.8
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,75.2
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,66.4
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,76.2
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,82.3
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,77.4
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Araba / Álava,Porcentaje,68.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,69.8
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,73.2
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,80.9
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,78.1
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,82.3
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,81.7
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,81.9
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,80.7
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,78.6
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,78.4
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,77.1
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,80.3
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,79.9
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Bizkaia,Porcentaje,83.8
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,71.1
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,73.4
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,79.2
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,74.4
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,75.7
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,79.7
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,75.0
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,77.7
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,80.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,80.3
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,79.4
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,77.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,73.9
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-24 urte,Gipuzkoa,Porcentaje,81.1
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,11.7
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,22.7
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,21.7
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,21.8
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,20.2
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,20.3
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,19.7
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,18.1
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,17.2
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,12.1
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,19.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,22.6
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,18.1
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,,Porcentaje,12.5
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,11.7
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,19.0
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,22.5
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,18.0
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,23.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,10.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,10.5
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,19.9
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,17.1
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,17.6
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,22.2
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,21.5
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,22.3
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Araba / Álava,Porcentaje,23.4
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,20.9
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,10.6
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,11.6
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,20.5
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,18.9
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,16.9
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,22.0
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,18.3
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,18.9
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,20.1
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,20.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,12.5
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,21.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Bizkaia,Porcentaje,23.0
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,19.5
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,18.1
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,13.7
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,13.4
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,17.1
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,22.2
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,17.2
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,19.6
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,21.6
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,22.1
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,19.7
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,24.1
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,19.7
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,15-64 urte,Gipuzkoa,Porcentaje,13.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,7.8
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,3.1
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,2.5
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,11.0
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,11.8
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,9.5
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,10.0
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,12.5
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,9.6
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,8.8
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,3.1
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,8.4
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,13.9
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,,Porcentaje,11.3
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,10.0
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,12.0
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,12.1
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,14.9
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,12.3
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,8.2
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,2.4
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,1.9
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,14.5
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,10.0
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,9.8
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,14.6
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,8.4
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Araba / Álava,Porcentaje,2.3
2012,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,2.7
2016,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,11.6
2011,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,2.4
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,10.4
2013,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,8.4
2015,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,13.0
2017,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,9.0
2019,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,10.0
2022,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,9.9
2021,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,11.8
2023,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,12.5
2020,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,10.4
2018,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,8.0
2010,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Bizkaia,Porcentaje,1.7
2014,Irakaskuntzan eta prestakuntza akademikoan eta ez-akademikoan izandako parte-hartze tasa azken 4 asteetan,Gizona,25-64 urte,Gipuzkoa,Porcentaje,10.5
