Year,Computer skills,Sex,Age,Province,Units,Value
2021,Programming in a programming language,,16-74 years,Araba/Álava,%,5.7
2019,Programming in a programming language,,16-74 years,Araba/Álava,%,5.27
2020,Programming in a programming language,,16-74 years,Bizkaia,%,5.74
2023,Programming in a programming language,,16-74 years,Bizkaia,%,6.86
2022,Programming in a programming language,,16-74 years,Bizkaia,%,5.14
2019,Programming in a programming language,,16-74 years,Bizkaia,%,5.83
2021,Programming in a programming language,,16-74 years,Bizkaia,%,5.17
2022,Programming in a programming language,,16-74 years,Gipuzkoa,%,5.69
2019,Programming in a programming language,,16-74 years,Gipuzkoa,%,5.24
2021,Programming in a programming language,,16-74 years,Gipuzkoa,%,5.21
2020,Programming in a programming language,,16-74 years,Gipuzkoa,%,5.58
2023,Programming in a programming language,,16-74 years,Gipuzkoa,%,6.12
2023,Programming in a programming language,,25-74 years,,%,4.86
2019,Programming in a programming language,,25-74 years,,%,4.79
2020,Programming in a programming language,,25-74 years,,%,4.76
2021,Programming in a programming language,,25-74 years,,%,4.0
2022,Programming in a programming language,,25-74 years,,%,4.49
2019,Programming in a programming language,,25-74 years,Araba/Álava,%,4.67
2023,Programming in a programming language,,25-74 years,Araba/Álava,%,2.86
2020,Programming in a programming language,,25-74 years,Araba/Álava,%,5.57
2022,Programming in a programming language,,25-74 years,Araba/Álava,%,3.98
2021,Programming in a programming language,,25-74 years,Araba/Álava,%,4.5
2023,Programming in a programming language,,25-74 years,Bizkaia,%,5.19
2021,Programming in a programming language,,25-74 years,Bizkaia,%,3.98
2022,Programming in a programming language,,25-74 years,Bizkaia,%,4.33
2019,Programming in a programming language,,25-74 years,Bizkaia,%,4.96
2020,Programming in a programming language,,25-74 years,Bizkaia,%,4.51
2022,Programming in a programming language,,25-74 years,Gipuzkoa,%,5.01
2023,Programming in a programming language,,25-74 years,Gipuzkoa,%,5.23
2021,Programming in a programming language,,25-74 years,Gipuzkoa,%,3.81
2019,Programming in a programming language,,25-74 years,Gipuzkoa,%,4.58
2020,Programming in a programming language,,25-74 years,Gipuzkoa,%,4.78
2023,Programming in a programming language,Female,16-24 years,,%,12.07
2020,Programming in a programming language,Female,16-24 years,,%,9.66
2021,Programming in a programming language,Female,16-24 years,,%,11.1
2022,Programming in a programming language,Female,16-24 years,,%,9.13
2019,Programming in a programming language,Female,16-24 years,,%,8.88
2022,Programming in a programming language,Female,16-24 years,Araba/Álava,%,4.68
2021,Programming in a programming language,Female,16-24 years,Araba/Álava,%,9.22
2020,Programming in a programming language,Female,16-24 years,Araba/Álava,%,4.12
2023,Programming in a programming language,Female,16-24 years,Araba/Álava,%,8.98
2019,Programming in a programming language,Female,16-24 years,Araba/Álava,%,7.88
2021,Programming in a programming language,Female,16-24 years,Bizkaia,%,13.4
2022,Programming in a programming language,Female,16-24 years,Bizkaia,%,13.13
2019,Programming in a programming language,Female,16-24 years,Bizkaia,%,10.67
2023,Programming in a programming language,Female,16-24 years,Bizkaia,%,15.5
2020,Programming in a programming language,Female,16-24 years,Bizkaia,%,11.49
2020,Programming in a programming language,Female,16-24 years,Gipuzkoa,%,9.35
2019,Programming in a programming language,Female,16-24 years,Gipuzkoa,%,6.83
2021,Programming in a programming language,Female,16-24 years,Gipuzkoa,%,8.26
2023,Programming in a programming language,Female,16-24 years,Gipuzkoa,%,8.28
2022,Programming in a programming language,Female,16-24 years,Gipuzkoa,%,4.69
2020,Programming in a programming language,Female,16-74 years,,%,4.04
2022,Programming in a programming language,Female,16-74 years,,%,3.35
2021,Programming in a programming language,Female,16-74 years,,%,3.14
2019,Programming in a programming language,Female,16-74 years,,%,3.05
2023,Programming in a programming language,Female,16-74 years,,%,4.42
2020,Programming in a programming language,Female,16-74 years,Araba/Álava,%,4.65
2019,Programming in a programming language,Female,16-74 years,Araba/Álava,%,3.04
2021,Programming in a programming language,Female,16-74 years,Araba/Álava,%,3.69
2023,Programming in a programming language,Female,16-74 years,Araba/Álava,%,3.54
2022,Programming in a programming language,Female,16-74 years,Araba/Álava,%,3.03
2021,Programming in a programming language,Female,16-74 years,Bizkaia,%,3.34
2022,Programming in a programming language,Female,16-74 years,Bizkaia,%,3.74
2020,Programming in a programming language,Female,16-74 years,Bizkaia,%,3.56
2019,Programming in a programming language,Female,16-74 years,Bizkaia,%,3.27
2023,Programming in a programming language,Female,16-74 years,Bizkaia,%,5.32
2021,Programming in a programming language,Female,16-74 years,Gipuzkoa,%,2.57
2020,Programming in a programming language,Female,16-74 years,Gipuzkoa,%,4.53
2019,Programming in a programming language,Female,16-74 years,Gipuzkoa,%,2.71
2023,Programming in a programming language,Female,16-74 years,Gipuzkoa,%,3.36
2022,Programming in a programming language,Female,16-74 years,Gipuzkoa,%,2.84
2023,Programming in a programming language,Female,25-74 years,,%,3.46
2021,Programming in a programming language,Female,25-74 years,,%,2.15
2019,Programming in a programming language,Female,25-74 years,,%,2.4
2022,Programming in a programming language,Female,25-74 years,,%,2.62
2020,Programming in a programming language,Female,25-74 years,,%,3.38
2019,Programming in a programming language,Female,25-74 years,Araba/Álava,%,2.46
2020,Programming in a programming language,Female,25-74 years,Araba/Álava,%,4.71
2023,Programming in a programming language,Female,25-74 years,Araba/Álava,%,2.9
2022,Programming in a programming language,Female,25-74 years,Araba/Álava,%,2.84
2021,Programming in a programming language,Female,25-74 years,Araba/Álava,%,3.01
2021,Programming in a programming language,Female,25-74 years,Bizkaia,%,2.09
2022,Programming in a programming language,Female,25-74 years,Bizkaia,%,2.57
2019,Programming in a programming language,Female,25-74 years,Bizkaia,%,2.51
2020,Programming in a programming language,Female,25-74 years,Bizkaia,%,2.65
2023,Programming in a programming language,Female,25-74 years,Bizkaia,%,4.09
2020,Programming in a programming language,Female,25-74 years,Gipuzkoa,%,3.93
2023,Programming in a programming language,Female,25-74 years,Gipuzkoa,%,2.69
2022,Programming in a programming language,Female,25-74 years,Gipuzkoa,%,2.59
2019,Programming in a programming language,Female,25-74 years,Gipuzkoa,%,2.21
2021,Programming in a programming language,Female,25-74 years,Gipuzkoa,%,1.84
2020,Programming in a programming language,Male,16-24 years,,%,16.53
2023,Programming in a programming language,Male,16-24 years,,%,20.82
2021,Programming in a programming language,Male,16-24 years,,%,17.82
2022,Programming in a programming language,Male,16-24 years,,%,12.88
2019,Programming in a programming language,Male,16-24 years,,%,15.83
2020,Programming in a programming language,Male,16-24 years,Araba/Álava,%,9.56
2019,Programming in a programming language,Male,16-24 years,Araba/Álava,%,13.71
2021,Programming in a programming language,Male,16-24 years,Araba/Álava,%,18.8
2023,Programming in a programming language,Male,16-24 years,Araba/Álava,%,18.62
2022,Programming in a programming language,Male,16-24 years,Araba/Álava,%,17.3
2020,Programming in a programming language,Male,16-24 years,Bizkaia,%,20.49
2019,Programming in a programming language,Male,16-24 years,Bizkaia,%,17.71
2022,Programming in a programming language,Male,16-24 years,Bizkaia,%,9.61
2023,Programming in a programming language,Male,16-24 years,Bizkaia,%,24.51
2021,Programming in a programming language,Male,16-24 years,Bizkaia,%,15.6
2023,Programming in a programming language,Male,16-24 years,Gipuzkoa,%,16.54
2020,Programming in a programming language,Male,16-24 years,Gipuzkoa,%,13.92
2022,Programming in a programming language,Male,16-24 years,Gipuzkoa,%,16.01
2019,Programming in a programming language,Male,16-24 years,Gipuzkoa,%,14.1
2021,Programming in a programming language,Male,16-24 years,Gipuzkoa,%,20.33
2022,Programming in a programming language,Male,16-74 years,,%,7.25
2020,Programming in a programming language,Male,16-74 years,,%,7.37
2023,Programming in a programming language,Male,16-74 years,,%,8.1
2021,Programming in a programming language,Male,16-74 years,,%,7.4
2019,Programming in a programming language,Male,16-74 years,,%,8.14
2022,Programming in a programming language,Male,16-74 years,Araba/Álava,%,6.49
2020,Programming in a programming language,Male,16-74 years,Araba/Álava,%,6.83
2019,Programming in a programming language,Male,16-74 years,Araba/Álava,%,7.6
2021,Programming in a programming language,Male,16-74 years,Araba/Álava,%,7.7
2023,Programming in a programming language,Male,16-74 years,Araba/Álava,%,4.98
2020,Programming in a programming language,Male,16-74 years,Bizkaia,%,7.98
2022,Programming in a programming language,Male,16-74 years,Bizkaia,%,6.64
2021,Programming in a programming language,Male,16-74 years,Bizkaia,%,7.05
2019,Programming in a programming language,Male,16-74 years,Bizkaia,%,8.5
2023,Programming in a programming language,Male,16-74 years,Bizkaia,%,8.48
2022,Programming in a programming language,Male,16-74 years,Gipuzkoa,%,8.57
2019,Programming in a programming language,Male,16-74 years,Gipuzkoa,%,7.79
2020,Programming in a programming language,Male,16-74 years,Gipuzkoa,%,6.65
2021,Programming in a programming language,Male,16-74 years,Gipuzkoa,%,7.81
2023,Programming in a programming language,Male,16-74 years,Gipuzkoa,%,8.95
2023,Programming in a programming language,Male,25-74 years,,%,6.32
2020,Programming in a programming language,Male,25-74 years,,%,6.18
2021,Programming in a programming language,Male,25-74 years,,%,5.9
2022,Programming in a programming language,Male,25-74 years,,%,6.47
2019,Programming in a programming language,Male,25-74 years,,%,7.26
2022,Programming in a programming language,Male,25-74 years,Araba/Álava,%,5.16
2021,Programming in a programming language,Male,25-74 years,Araba/Álava,%,6.01
2020,Programming in a programming language,Male,25-74 years,Araba/Álava,%,6.46
2023,Programming in a programming language,Male,25-74 years,Araba/Álava,%,2.83
2019,Programming in a programming language,Male,25-74 years,Araba/Álava,%,6.95
2023,Programming in a programming language,Male,25-74 years,Bizkaia,%,6.37
2021,Programming in a programming language,Male,25-74 years,Bizkaia,%,5.93
2019,Programming in a programming language,Male,25-74 years,Bizkaia,%,7.51
2022,Programming in a programming language,Male,25-74 years,Bizkaia,%,6.23
2020,Programming in a programming language,Male,25-74 years,Bizkaia,%,6.42
2020,Programming in a programming language,Male,25-74 years,Gipuzkoa,%,5.65
2023,Programming in a programming language,Male,25-74 years,Gipuzkoa,%,7.85
2021,Programming in a programming language,Male,25-74 years,Gipuzkoa,%,5.8
2019,Programming in a programming language,Male,25-74 years,Gipuzkoa,%,6.98
2022,Programming in a programming language,Male,25-74 years,Gipuzkoa,%,7.48
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,,%,77.6
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,,%,85.19
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,,%,84.87
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,,%,78.1
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,,%,84.6
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Araba/Álava,%,82.26
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Araba/Álava,%,84.7
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Araba/Álava,%,86.93
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Araba/Álava,%,83.91
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Araba/Álava,%,81.74
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Bizkaia,%,83.91
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Bizkaia,%,88.2
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Bizkaia,%,85.4
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Bizkaia,%,76.45
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Bizkaia,%,76.61
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Gipuzkoa,%,76.4
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Gipuzkoa,%,84.57
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Gipuzkoa,%,80.35
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Gipuzkoa,%,86.17
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-24 years,Gipuzkoa,%,78.88
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,,%,51.89
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,,%,52.11
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,,%,55.16
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,,%,49.97
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,,%,60.29
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Araba/Álava,%,59.61
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Araba/Álava,%,52.54
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Araba/Álava,%,55.92
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Araba/Álava,%,46.04
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Araba/Álava,%,51.64
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Bizkaia,%,52.78
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Bizkaia,%,60.31
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Bizkaia,%,52.27
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Bizkaia,%,50.57
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Bizkaia,%,54.17
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Gipuzkoa,%,50.59
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Gipuzkoa,%,60.59
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Gipuzkoa,%,51.64
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Gipuzkoa,%,56.4
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,16-74 years,Gipuzkoa,%,50.82
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,,%,51.51
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,,%,56.95
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,,%,48.68
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,,%,46.31
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,,%,48.18
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Araba/Álava,%,40.81
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Araba/Álava,%,47.91
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Araba/Álava,%,52.03
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Araba/Álava,%,56.51
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Araba/Álava,%,49.05
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Bizkaia,%,49.05
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Bizkaia,%,57.11
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Bizkaia,%,47.3
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Bizkaia,%,50.63
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Bizkaia,%,49.1
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Gipuzkoa,%,56.89
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Gipuzkoa,%,46.88
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Gipuzkoa,%,47.82
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Gipuzkoa,%,52.71
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",,25-74 years,Gipuzkoa,%,47.25
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,,%,88.56
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,,%,84.28
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,,%,82.59
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,,%,81.09
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,,%,84.43
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Araba/Álava,%,87.2
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Araba/Álava,%,84.87
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Araba/Álava,%,89.88
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Araba/Álava,%,82.29
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Araba/Álava,%,85.62
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Bizkaia,%,85.6
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Bizkaia,%,84.18
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Bizkaia,%,81.25
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Bizkaia,%,88.98
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Bizkaia,%,83.57
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Gipuzkoa,%,78.94
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Gipuzkoa,%,80.03
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Gipuzkoa,%,88.57
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Gipuzkoa,%,83.61
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-24 years,Gipuzkoa,%,82.15
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,,%,58.63
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,,%,50.08
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,,%,48.1
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,,%,51.07
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,,%,52.59
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Araba/Álava,%,48.64
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Araba/Álava,%,52.9
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Araba/Álava,%,45.98
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Araba/Álava,%,54.29
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Araba/Álava,%,56.3
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Bizkaia,%,58.45
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Bizkaia,%,51.44
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Bizkaia,%,50.34
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Bizkaia,%,50.45
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Bizkaia,%,47.89
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Gipuzkoa,%,51.23
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Gipuzkoa,%,49.41
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Gipuzkoa,%,59.99
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Gipuzkoa,%,50.32
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,16-74 years,Gipuzkoa,%,53.65
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,,%,43.57
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,,%,48.84
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,,%,47.26
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,,%,55.62
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,,%,45.79
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Araba/Álava,%,49.1
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Araba/Álava,%,52.82
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Araba/Álava,%,40.77
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Araba/Álava,%,51.08
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Araba/Álava,%,44.01
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Bizkaia,%,43.5
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Bizkaia,%,55.33
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Bizkaia,%,47.54
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Bizkaia,%,46.36
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Bizkaia,%,46.6
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Gipuzkoa,%,57.41
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Gipuzkoa,%,49.91
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Gipuzkoa,%,45.68
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Gipuzkoa,%,47.5
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Female,25-74 years,Gipuzkoa,%,44.98
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,,%,75.19
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,,%,84.76
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,,%,81.15
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,,%,87.5
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,,%,71.32
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Araba/Álava,%,79.3
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Araba/Álava,%,77.94
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Araba/Álava,%,81.76
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Araba/Álava,%,90.97
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Araba/Álava,%,80.13
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Bizkaia,%,82.32
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Bizkaia,%,87.43
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Bizkaia,%,72.02
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Bizkaia,%,87.19
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Bizkaia,%,68.91
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Gipuzkoa,%,72.44
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Gipuzkoa,%,85.47
2023,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Gipuzkoa,%,70.81
2021,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Gipuzkoa,%,91.14
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-24 years,Gipuzkoa,%,78.83
2019,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,,%,53.76
2022,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,,%,53.2
2020,"Transferring files between the computer and other devices (digital cameras, mobile phones, MP3 or MP4 players)",Male,16-74 years,,%,57.79
