Year,Series,Age,Sex,Type of contract,Province,County,Municipality,Units,GeoCode,Value
2019,Employment rate,16 years and over,Female,,,,Güeñes,%,Güeñes,46.9
2023,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,38.7
2018,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,38.5
2019,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,34.4
2010,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,35.3
2021,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,37.8
2020,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,34.7
2016,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,34.7
2022,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,37.9
2015,Employment rate,16 years and over,Female,,,,Harana/Valle de Arana,%,Harana/Valle de Arana,38.8
2016,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,47.6
2018,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,50.5
2022,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,52.6
2015,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,47.6
2010,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,47.3
2021,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,50.6
2020,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,52.3
2019,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,50.9
2023,Employment rate,16 years and over,Female,,,,Hernani,%,Hernani,53.6
2019,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,55.0
2020,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,50.0
2022,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,48.6
2010,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,58.2
2021,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,46.4
2016,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,56.6
2023,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,52.2
2018,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,58.5
2015,Employment rate,16 years and over,Female,,,,Hernialde,%,Hernialde,62.0
2010,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,47.0
2016,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,45.6
2022,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,49.1
2023,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,49.3
2015,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,46.5
2020,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,48.1
2019,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,47.3
2021,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,47.4
2018,Employment rate,16 years and over,Female,,,,Hondarribia,%,Hondarribia,46.9
2021,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,46.0
2018,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,45.7
2010,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,46.5
2019,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,44.9
2023,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,49.3
2016,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,44.7
2020,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,46.3
2022,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,48.2
2015,Employment rate,16 years and over,Female,,,,Ibarra,%,Ibarra,45.5
2020,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,44.9
2023,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,44.7
2018,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,48.3
2022,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,49.7
2019,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,45.4
2016,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,44.6
2015,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,46.8
2021,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,44.7
2010,Employment rate,16 years and over,Female,,,,Ibarrangelu,%,Ibarrangelu,44.3
2022,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,48.1
2020,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,48.0
2018,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,46.5
2019,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,48.2
2021,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,47.6
2015,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,46.0
2010,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,45.8
2023,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,48.0
2016,Employment rate,16 years and over,Female,,,,Idiazabal,%,Idiazabal,47.1
2022,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,46.2
2020,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,46.7
2010,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,44.9
2021,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,46.0
2016,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,47.5
2019,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,46.2
2018,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,45.5
2023,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,47.1
2015,Employment rate,16 years and over,Female,,,,Igorre,%,Igorre,46.8
2020,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,46.2
2023,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,45.6
2019,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,40.7
2010,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,48.6
2022,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,46.3
2018,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,42.7
2015,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,43.7
2016,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,41.6
2021,Employment rate,16 years and over,Female,,,,Ikaztegieta,%,Ikaztegieta,42.0
2021,Employment rate,16 years and over,Female,,,,Irun,%,Irun,45.0
2010,Employment rate,16 years and over,Female,,,,Irun,%,Irun,43.7
2016,Employment rate,16 years and over,Female,,,,Irun,%,Irun,42.8
2022,Employment rate,16 years and over,Female,,,,Irun,%,Irun,46.7
2019,Employment rate,16 years and over,Female,,,,Irun,%,Irun,45.2
2018,Employment rate,16 years and over,Female,,,,Irun,%,Irun,44.8
2020,Employment rate,16 years and over,Female,,,,Irun,%,Irun,45.6
2023,Employment rate,16 years and over,Female,,,,Irun,%,Irun,47.5
2015,Employment rate,16 years and over,Female,,,,Irun,%,Irun,43.5
2020,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,60.5
2023,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,60.3
2015,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,58.4
2018,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,58.2
2022,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,60.8
2010,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,58.3
2016,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,58.0
2019,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,60.5
2021,Employment rate,16 years and over,Female,,,,Iruña Oka/Iruña de Oca,%,Iruña Oka/Iruña de Oca,57.9
2016,Employment rate,16 years and over,Female,,,,Irura,%,Irura,59.1
2015,Employment rate,16 years and over,Female,,,,Irura,%,Irura,58.3
2010,Employment rate,16 years and over,Female,,,,Irura,%,Irura,63.9
2022,Employment rate,16 years and over,Female,,,,Irura,%,Irura,60.9
2019,Employment rate,16 years and over,Female,,,,Irura,%,Irura,58.6
2020,Employment rate,16 years and over,Female,,,,Irura,%,Irura,60.9
2018,Employment rate,16 years and over,Female,,,,Irura,%,Irura,60.7
2023,Employment rate,16 years and over,Female,,,,Irura,%,Irura,61.4
2021,Employment rate,16 years and over,Female,,,,Irura,%,Irura,60.5
2016,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,58.9
2019,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,62.2
2022,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,62.7
2018,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,59.3
2021,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,58.1
2015,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,56.5
2023,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,59.5
2020,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,60.1
2010,Employment rate,16 years and over,Female,,,,Iruraiz-Gauna,%,Iruraiz-Gauna,56.9
2022,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,49.8
2010,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,43.6
2019,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,47.7
2023,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,51.4
2015,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,47.6
2016,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,50.2
2021,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,48.5
2020,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,48.4
2018,Employment rate,16 years and over,Female,,,,Ispaster,%,Ispaster,47.1
2020,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,54.4
2018,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,47.9
2015,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,45.9
2023,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,53.9
2021,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,50.4
2016,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,43.9
2022,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,53.8
2019,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,49.6
2010,Employment rate,16 years and over,Female,,,,Itsasondo,%,Itsasondo,45.1
2018,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,42.1
2015,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,40.8
2019,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,42.4
2020,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,44.1
2010,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,39.6
2022,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,45.8
2021,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,43.7
2016,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,41.4
2023,Employment rate,16 years and over,Female,,,,Iurreta,%,Iurreta,45.9
2021,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,52.9
2016,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,45.7
2020,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,46.2
2015,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,50.0
2022,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,51.9
2010,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,45.9
2019,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,48.4
2023,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,54.3
2018,Employment rate,16 years and over,Female,,,,Izurtza,%,Izurtza,51.6
2018,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,35.9
2022,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,40.1
2020,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,37.6
2015,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,36.1
2016,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,34.1
2010,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,37.5
2019,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,35.8
2023,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,42.4
2021,Employment rate,16 years and over,Female,,,,Karrantza Harana/Valle de Carranza,%,Karrantza Harana/Valle de Carranza,38.5
2019,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,54.0
2015,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,48.4
2022,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,58.1
2016,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,53.7
2010,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,51.2
2023,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,56.5
2020,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,53.8
2018,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,54.0
2021,Employment rate,16 years and over,Female,,,,Kortezubi,%,Kortezubi,56.5
2021,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,41.8
2015,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,43.2
2016,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,41.3
2018,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,36.8
2022,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,50.0
2019,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,37.2
2020,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,41.8
2023,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,47.5
2010,Employment rate,16 years and over,Female,,,,Kripan,%,Kripan,39.2
2016,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,53.7
2010,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,42.2
2018,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,45.2
2023,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,52.1
2020,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,50.7
2015,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,50.4
2021,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,45.8
2022,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,53.7
2019,Employment rate,16 years and over,Female,,,,Kuartango,%,Kuartango,47.3
2022,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,48.0
2019,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,44.5
2020,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,43.9
2023,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,49.0
2018,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,44.1
2015,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,42.0
2010,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,43.9
2016,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,41.4
2021,Employment rate,16 years and over,Female,,,,Labastida/Bastida,%,Labastida/Bastida,44.3
2015,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,37.7
2021,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,36.5
2019,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,38.0
2018,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,34.3
2020,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,40.5
2023,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,37.7
2016,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,33.3
2022,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,40.5
2010,Employment rate,16 years and over,Female,,,,Lagrán,%,Lagrán,40.0
2019,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,49.1
2015,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,46.7
2021,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,48.8
2016,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,47.2
2010,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,43.4
2018,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,48.8
2022,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,50.7
2023,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,51.0
2020,Employment rate,16 years and over,Female,,,,Laguardia,%,Laguardia,50.3
2022,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,38.9
2016,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,32.9
2023,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,39.5
2019,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,34.6
2010,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,32.0
2021,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,39.1
2020,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,36.4
2018,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,35.5
2015,Employment rate,16 years and over,Female,,,,Lanciego/Lantziego,%,Lanciego/Lantziego,35.7
2015,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,33.9
2016,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,28.9
2020,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,34.5
2023,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,39.7
2019,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,33.3
2010,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,35.8
2021,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,35.9
2018,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,33.0
2022,Employment rate,16 years and over,Female,,,,Lanestosa,%,Lanestosa,42.4
2015,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,38.1
2016,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,38.0
2021,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,37.0
2019,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,41.6
2023,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,38.1
2022,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,39.3
2020,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,39.5
2018,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,38.2
2010,Employment rate,16 years and over,Female,,,,Lantarón,%,Lantarón,36.6
2021,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,41.5
2019,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,42.2
2018,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,42.7
2015,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,41.3
2016,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,42.9
2010,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,42.3
2023,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,46.8
2022,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,44.7
2020,Employment rate,16 years and over,Female,,,,Lapuebla de Labarca,%,Lapuebla de Labarca,43.1
2015,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,56.6
2018,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,55.9
2023,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,56.7
2022,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,55.3
2019,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,55.7
2016,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,56.4
2021,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,53.7
2010,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,53.5
2020,Employment rate,16 years and over,Female,,,,Larrabetzu,%,Larrabetzu,55.0
2019,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,60.0
2015,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,56.6
2018,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,63.0
2021,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,57.8
2020,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,61.4
2010,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,64.7
2023,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,57.4
2022,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,61.5
2016,Employment rate,16 years and over,Female,,,,Larraul,%,Larraul,56.6
2023,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,50.2
2010,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,44.1
2022,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,49.3
2015,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,44.8
2019,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,47.5
2021,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,47.4
2016,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,44.3
2020,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,47.9
2018,Employment rate,16 years and over,Female,,,,Lasarte-Oria,%,Lasarte-Oria,46.5
2019,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,42.0
2023,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,44.7
2022,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,44.3
2020,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,42.6
2021,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,42.2
2016,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,40.0
2018,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,41.7
2010,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,41.1
2015,Employment rate,16 years and over,Female,,,,Laudio/Llodio,%,Laudio/Llodio,40.7
2016,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,47.9
2021,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,48.2
2010,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,50.9
2022,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,49.8
2018,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,47.3
2015,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,49.5
2019,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,50.2
2020,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,49.7
2023,Employment rate,16 years and over,Female,,,,Laukiz,%,Laukiz,54.0
2016,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,46.2
2021,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,49.6
2010,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,43.5
2019,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,49.2
2023,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,52.1
2020,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,50.5
2015,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,45.6
2022,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,51.7
2018,Employment rate,16 years and over,Female,,,,Lazkao,%,Lazkao,48.4
2022,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,50.7
2023,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,51.0
2016,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,41.4
2020,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,46.4
2018,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,46.5
2015,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,39.4
2010,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,43.9
2021,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,46.2
2019,Employment rate,16 years and over,Female,,,,Leaburu,%,Leaburu,46.0
2010,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,42.2
2021,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,43.9
2019,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,44.3
2022,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,44.8
2015,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,41.8
2023,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,46.3
2016,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,41.3
2020,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,44.2
2018,Employment rate,16 years and over,Female,,,,Legazpi,%,Legazpi,43.0
2018,Employment rate,16 years and over,Female,,,,Legorreta,%,Legorreta,47.4
2010,Employment rate,16 years and over,Female,,,,Legorreta,%,Legorreta,46.3
2023,Employment rate,16 years and over,Female,,,,Legorreta,%,Legorreta,50.2
