Year,Serie,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2017,RGI,Gizona,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,28.6
2018,RGI,Gizona,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,18.5
2019,RGI,Gizona,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,18.5
2020,RGI,Gizona,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,17.2
2021,RGI,Gizona,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,17.2
2022,RGI,Gizona,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,8.3
2014,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2015,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2016,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,8.9
2017,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,9.2
2018,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2019,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2020,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2021,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2022,RGI,Emakumea,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2014,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2015,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2016,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,157.9
2017,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,181.8
2018,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,181.8
2019,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,181.8
2020,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,58.8
2021,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,62.5
2022,RGI,,TIT,MIGRANT,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,0.0
2010,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,5.0
2011,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,4.8
2012,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,9.2
2013,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,13.0
2014,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,8.8
2015,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,9.0
2016,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,17.8
2017,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,18.7
2018,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,9.0
2019,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,9.0
2020,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,8.9
2021,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,8.9
2022,RGI,,TIT,,,,,Armiñón,1.000 biztanle bakoitzeko,Armiñón,4.4
2014,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,10.6
2015,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,7.3
2016,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,3.6
2017,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,5.3
2018,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,3.6
2019,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2020,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2021,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2022,RGI,Gizona,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.7
2014,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,8.3
2015,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,4.2
2016,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,4.3
2017,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,4.3
2018,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,4.2
2019,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,8.6
2020,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,4.1
2021,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,2.0
2022,RGI,Emakumea,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,2.0
2014,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,69.0
2015,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,87.0
2016,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,71.4
2017,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,66.7
2018,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,29.4
2019,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,52.6
2020,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2021,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.0
2022,RGI,,TIT,MIGRANT,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,29.4
2010,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,7.2
2011,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,10.8
2012,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,10.7
2013,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,11.5
2014,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,9.6
2015,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,5.9
2016,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,3.9
2017,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,4.8
2018,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,3.9
2019,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,3.9
2020,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.9
2021,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,0.9
2022,RGI,,TIT,,,,,Arratzua-Ubarrundia,1.000 biztanle bakoitzeko,Arratzua-Ubarrundia,1.9
2014,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,32.6
2015,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,31.7
2016,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,19.9
2017,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,17.2
2018,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,13.6
2019,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,12.3
2020,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,18.1
2021,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,15.6
2022,RGI,Gizona,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,18.5
2014,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,48.5
2015,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,46.5
2016,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,41.7
2017,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,34.1
2018,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,32.5
2019,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,23.7
2020,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,31.5
2021,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,27.8
2022,RGI,Emakumea,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,24.4
2014,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,130.0
2015,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,188.9
2016,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,113.2
2017,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,78.3
2018,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,63.0
2019,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,42.0
2020,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,77.4
2021,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,63.7
2022,RGI,,TIT,MIGRANT,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,70.5
2010,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,29.5
2011,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,32.8
2012,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,38.6
2013,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,36.2
2014,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,40.5
2015,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,39.1
2016,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,30.9
2017,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,25.7
2018,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,23.0
2019,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,17.9
2020,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,24.7
2021,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,21.7
2022,RGI,,TIT,,,,,Asparrena,1.000 biztanle bakoitzeko,Asparrena,21.5
2014,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),14.4
2015,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.2
2016,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.6
2017,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),12.3
2018,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),11.7
2019,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),12.2
2020,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.5
2021,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),14.9
2022,RGI,Gizona,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.8
2014,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),15.5
2015,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),14.6
2016,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.6
2017,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),11.6
2018,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),11.3
2019,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),11.4
2020,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.0
2021,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),14.4
2022,RGI,Emakumea,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.4
2014,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),54.1
2015,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),55.7
2016,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),52.1
2017,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),52.2
2018,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),38.4
2019,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),38.2
2020,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),38.7
2021,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),46.8
2022,RGI,,TIT,MIGRANT,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),38.9
2010,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),6.6
2011,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),9.1
2012,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),8.5
2013,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),11.3
2014,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),14.9
2015,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.8
2016,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.6
2017,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),12.0
2018,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),11.5
2019,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),11.9
2020,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.2
2021,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),14.7
2022,RGI,,TIT,,,,Añana (eskualdea),,1.000 biztanle bakoitzeko,Añana (eskualdea),13.6
2014,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,14.0
2015,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,13.8
2016,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,11.8
2017,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,13.8
2018,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,12.5
2019,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,9.7
2020,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,13.6
2021,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,9.5
2022,RGI,Gizona,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,11.1
2014,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,11.8
2015,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,11.8
2016,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,13.2
2017,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,12.4
2018,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,11.0
2019,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,12.4
2020,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,13.1
2021,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,14.5
2022,RGI,Emakumea,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,13.2
2014,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,40.8
2015,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,22.2
2016,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,43.5
2017,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2018,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2019,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,60.0
2020,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2021,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2022,RGI,,TIT,MIGRANT,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,0.0
2010,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,8.8
2011,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,10.5
2012,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,11.1
2013,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,10.8
2014,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,12.9
2015,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,12.8
2016,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,12.5
2017,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,13.1
2018,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,11.7
2019,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,11.1
2020,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,13.4
2021,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,12.0
2022,RGI,,TIT,,,,,Ayala/Aiara,1.000 biztanle bakoitzeko,Ayala/Aiara,12.1
2014,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,5.8
2015,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,5.8
2016,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,11.3
2017,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,5.7
2018,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,16.3
2019,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,16.2
2020,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,17.5
2021,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,11.7
2022,RGI,Gizona,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,11.1
2014,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,7.0
2015,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,7.0
2016,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,0.0
2017,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,14.7
2018,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,7.2
2019,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,7.4
2020,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,7.2
2021,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,7.2
2022,RGI,Emakumea,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,7.4
2014,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,27.0
2015,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,25.6
2016,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,45.5
2017,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,19.6
2018,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,14.1
2019,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,29.9
2020,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,52.6
2021,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,29.4
2022,RGI,,TIT,MIGRANT,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,30.3
2010,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,6.1
2011,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,6.3
2012,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,6.2
2013,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,12.2
2014,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,6.4
2015,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,6.4
2016,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,6.3
2017,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,9.6
2018,RGI,,TIT,,,,,Baños de Ebro/Mañueta,1.000 biztanle bakoitzeko,Baños de Ebro/Mañueta,12.4
